"","stnr","z","x","y","NO"
"351",7300,464,324496,6814945,TRUE
"352",7380,585,323777,6828538,TRUE
"353",7420,872,312963,6809720,TRUE
"354",7460,303,312686,6793431,TRUE
"355",7550,262,306716,6808990,TRUE
"356",7570,256,306199,6811631,TRUE
"357",7950,255,304913,6788900,TRUE
"358",8130,255,294138,6814020,TRUE
"359",8140,257,290930,6816467,TRUE
"360",8150,264,290804,6817401,TRUE
"361",8230,283,287909,6833310,TRUE
"362",8250,303,282662,6838327,TRUE
"363",8300,640,277494,6847213,TRUE
"364",8340,335,280136,6850606,TRUE
"365",8450,535,262866,6859109,TRUE
"366",8710,739,245383,6871098,TRUE
"367",8720,749,244691,6871508,TRUE
"368",7360,530,323273,6822616,TRUE
"369",7650,253,298985,6844772,TRUE
"370",7660,260,299289,6846172,TRUE
"371",7720,459,296541,6853110,TRUE
"372",7750,278,296405,6857763,TRUE
"373",7800,303,294159,6867389,TRUE
"374",7830,276,293249,6872803,TRUE
"375",7900,513,293928,6892125,TRUE
"376",7910,505,293434,6892189,TRUE
"377",7920,525,293189,6892539,TRUE
"378",8800,387,284912,6865860,TRUE
"379",420,481,341102,6842724,TRUE
"380",600,696,334227,6860843,TRUE
"381",610,690,333728,6860778,TRUE
"382",670,754,341709,6860075,TRUE
"383",700,672,344849,6865141,TRUE
"384",725,826,350220,6886606,TRUE
"385",730,794,352289,6885846,TRUE
"386",770,713,315502,6901961,TRUE
"387",9580,482,278547,6911509,TRUE
"388",9600,483,279018,6914461,TRUE
"389",9870,690,263527,6930786,TRUE
"390",10000,482,282129,6912559,TRUE
"391",10010,483,284829,6914741,TRUE
"392",66810,525,251849,6958067,TRUE
"393",66830,543,256412,6951857,TRUE
"394",66850,549,257321,6949499,TRUE
"395",66860,545,257367,6948165,TRUE
"396",66890,900,271903,6946370,TRUE
"397",66900,695,262594,6935714,TRUE
"398",66990,860,251224,6939196,TRUE
"399",8850,485,280414,6884376,TRUE
"400",8880,478,271889,6894056,TRUE
"401",9400,480,271878,6901844,TRUE
"402",8770,731,239464,6881084,TRUE
"403",8780,780,238404,6885415,TRUE
"404",8970,746,258021,6908692,TRUE
"405",9100,709,241816,6898136,TRUE
"406",9160,694,239125,6898544,TRUE
"407",800,670,331816,6905982,TRUE
"408",810,687,330443,6909388,TRUE
