"","stnr","year","month","day","hour","ntime","value","nvalue","DQC","KDVHflag","plausible","err.ext","blist.perm","blist.curr"
"135",2100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"136",2110,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"137",2170,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"138",2520,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"139",2540,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"140",2560,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"141",2600,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"142",2610,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"143",2650,2014,7,8,NA,1,4.9,1,NA,2,TRUE,FALSE,FALSE,FALSE
"144",2840,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"145",4800,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"146",4825,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"147",4850,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"148",4870,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"149",4080,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"150",4040,2014,7,8,NA,1,9.2,1,NA,0,TRUE,FALSE,FALSE,FALSE
"151",4050,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"152",4070,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"153",17640,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"154",4090,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"155",4100,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"156",4110,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"157",4200,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"158",4210,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"159",4220,2014,7,8,NA,1,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
"160",4260,2014,7,8,NA,1,16.8,1,NA,2,TRUE,FALSE,FALSE,FALSE
